"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"56266","0.000000","226.538849","0.000000","0.000000","-0.991116"
"56276","0.000000","226.542397","-312.500000","0.000000","-0.795731"
"56286","0.000000","226.545412","-312.500000","0.000000","-0.638997"
"56296","0.000000","226.547975","0.000000","0.000000","-0.513248"
"56306","0.000000","226.081404","-1250.000000","0.000000","-0.037342"
"56316","0.000000","225.684819","-1250.000000","0.000000","0.287395"
"56326","0.000000","225.113346","-312.500000","0.000000","0.687094"
"56336","0.000000","224.627594","-312.500000","0.000000","0.938277"
"56346","0.000000","223.980330","-312.500000","0.000000","1.268433"
"56356","0.000000","223.430155","-312.500000","0.000000","1.454886"
"56366","0.000000","223.196882","312.500000","0.000000","1.350527"
"56376","0.000000","222.998600","312.500000","0.000000","1.239048"
"56386","0.000000","223.298810","625.000000","0.000000","0.751070"
"56396","0.000000","223.553988","625.000000","0.000000","0.396713"
"56406","0.000000","223.302140","-625.000000","0.000000","0.518849"
"56416","0.000000","223.556819","1250.000000","0.000000","0.211336"
"56426","0.000000","223.773296","1250.000000","0.000000","-0.004113"
"56436","0.000000","223.722927","-312.500000","0.000000","0.037005"
"56446","0.000000","223.680113","-312.500000","0.000000","0.063855"
"56456","0.000000","223.174971","-625.000000","0.000000","0.455198"
"56466","0.000000","222.745600","-625.000000","0.000000","0.707655"
"56476","0.000000","222.615010","312.500000","0.000000","0.670596"
"56486","0.000000","222.504009","0.000000","0.000000","0.625278"
"56496","0.000000","222.409657","0.000000","0.000000","0.575703"
"56506","0.000000","222.095084","-312.500000","0.000000","0.712222"
"56516","0.000000","221.827696","-312.500000","0.000000","0.783687"
"56526","0.000000","221.366042","-312.500000","0.000000","0.996273"
"56536","0.000000","220.973635","-312.500000","0.000000","1.110944"
"56546","0.000000","220.640090","0.000000","0.000000","1.155591"
"56556","0.000000","220.356577","0.000000","0.000000","1.151284"
"56566","0.000000","220.115590","0.000000","0.000000","1.113816"
"56576","0.000000","220.379502","625.000000","0.000000","0.679924"
"56586","0.000000","220.603826","625.000000","0.000000","0.364479"
"56596","0.000000","221.497627","937.500000","0.000000","-0.423457"
"56606","0.000000","222.257358","937.500000","0.000000","-0.946551"
"56616","0.000000","222.668755","-312.500000","0.000000","-1.086358"
"56626","0.000000","223.018441","-312.500000","0.000000","-1.148835"
"56636","0.000000","223.081300","-312.500000","0.000000","-0.969355"
"56646","0.000000","223.134730","-312.500000","0.000000","-0.818228"
"56656","0.000000","223.180146","0.000000","0.000000","-0.690915"
"56666","0.000000","222.281249","-2500.000000","0.000000","0.166385"
"56676","0.000000","221.517186","-2500.000000","0.000000","0.744358"
"56686","0.000000","221.102108","312.500000","0.000000","0.927549"
"56696","0.000000","220.749292","312.500000","0.000000","1.024292"
