"Time","Target/4","Rpm/4","Accel(m/s)","Power","D"
"5986","300.000000","0.000000","0.000000","121.100000","0.000000"
"5996","300.000000","0.000000","0.000000","121.500000","0.000000"
"6006","300.000000","0.000000","0.000000","121.900000","0.000000"
"6016","300.000000","0.000000","0.000000","122.300000","0.000000"
"6026","300.000000","0.000000","0.000000","122.700000","0.000000"
"6036","300.000000","0.000000","0.000000","123.100000","0.000000"
"6046","300.000000","0.000000","0.000000","123.500000","0.000000"
"6056","300.000000","0.000000","0.000000","123.900000","0.000000"
"6066","300.000000","0.000000","0.000000","124.300000","0.000000"
"6076","300.000000","0.000000","0.000000","124.700000","0.000000"
"6086","300.000000","0.000000","0.000000","125.100000","0.000000"
"6096","300.000000","0.000000","0.000000","125.500000","0.000000"
"6106","300.000000","0.000000","0.000000","125.900000","0.000000"
"6116","300.000000","0.000000","0.000000","126.300000","0.000000"
"6126","300.000000","0.000000","0.000000","126.700000","0.000000"
"6136","300.000000","0.000000","0.000000","127.000000","0.000000"
"6146","300.000000","0.000000","0.000000","127.000000","0.000000"
"6156","300.000000","0.000000","0.000000","127.000000","0.000000"
"6166","300.000000","0.000000","0.000000","127.000000","0.000000"
"6176","300.000000","0.000000","0.000000","127.000000","0.000000"
"6186","300.000000","0.000000","0.000000","127.000000","0.000000"
"6196","300.000000","0.000000","0.000000","127.000000","0.000000"
"6206","300.000000","0.000000","0.000000","127.000000","0.000000"
"6216","300.000000","0.000000","0.000000","127.000000","0.000000"
"6226","300.000000","0.000000","0.000000","127.000000","0.000000"
"6236","300.000000","0.000000","0.000000","127.000000","0.000000"
"6246","300.000000","0.000000","0.000000","127.000000","0.000000"
"6256","300.000000","0.000000","0.000000","127.000000","0.000000"
"6266","300.000000","0.000000","0.000000","127.000000","0.000000"
"6276","300.000000","0.000000","0.000000","127.000000","0.000000"
"6286","300.000000","0.000000","0.000000","127.000000","0.000000"
"6296","300.000000","0.000000","0.000000","127.000000","0.000000"
"6306","300.000000","0.000000","0.000000","127.000000","0.000000"
"6316","300.000000","0.000000","0.000000","127.000000","0.000000"
"6326","300.000000","0.000000","0.000000","127.000000","0.000000"
"6336","300.000000","0.000000","0.000000","127.000000","0.000000"
"6346","300.000000","0.000000","0.000000","127.000000","0.000000"
"6356","300.000000","0.000000","0.000000","127.000000","0.000000"
"6366","300.000000","0.000000","0.000000","127.000000","0.000000"
"6376","300.000000","0.000000","0.000000","127.000000","0.000000"
"6386","300.000000","0.000000","0.000000","127.000000","0.000000"
"6396","300.000000","0.000000","0.000000","127.000000","0.000000"
"6406","300.000000","0.000000","0.000000","127.000000","0.000000"
"6416","300.000000","0.000000","0.000000","127.000000","0.000000"
"6426","300.000000","0.000000","0.000000","127.000000","0.000000"
"6436","300.000000","0.000000","0.000000","127.000000","0.000000"
"6446","300.000000","0.000000","0.000000","127.000000","0.000000"
"6456","300.000000","0.000000","0.000000","127.000000","0.000000"
"6466","375.000000","0.000000","0.000000","127.000000","150.000000"
"6476","375.000000","0.000000","0.000000","127.000000","75.000000"
"6486","375.000000","0.000000","0.000000","127.000000","37.500000"
"6496","375.000000","0.000000","0.000000","127.000000","18.750000"
"6506","375.000000","0.000000","0.000000","127.000000","9.375000"
"6516","375.000000","0.000000","0.000000","127.000000","4.687500"
"6526","375.000000","0.000000","0.000000","127.000000","2.343750"
"6536","375.000000","0.000000","0.000000","127.000000","1.171875"
"6546","375.000000","0.000000","0.000000","127.000000","0.585938"
"6556","375.000000","0.000000","0.000000","127.000000","0.292969"
"6566","375.000000","0.000000","0.000000","127.000000","0.146484"
"6576","375.000000","0.000000","0.000000","127.000000","0.073242"
"6586","375.000000","0.000000","0.000000","127.000000","0.036621"
"6596","375.000000","0.000000","0.000000","127.000000","0.018311"
"6606","375.000000","0.000000","0.000000","127.000000","0.009155"
"6616","375.000000","0.000000","0.000000","127.000000","0.004578"
"6626","375.000000","0.000000","0.000000","127.000000","0.002289"
"6636","375.000000","0.000000","0.000000","127.000000","0.001144"
"6646","375.000000","0.000000","0.000000","127.000000","0.000572"
"6656","375.000000","0.000000","0.000000","127.000000","0.000286"
"6666","375.000000","0.000000","0.000000","127.000000","0.000143"
"6676","375.000000","0.000000","0.000000","127.000000","0.000072"
"6686","375.000000","0.000000","0.000000","127.000000","0.000036"
"6696","375.000000","0.000000","0.000000","127.000000","0.000018"
"6706","375.000000","0.000000","0.000000","127.000000","0.000009"
"6716","375.000000","0.000000","0.000000","127.000000","0.000004"
"6726","375.000000","0.000000","0.000000","127.000000","0.000002"
